"","x"
"1","TPX2"
"2","CLSPN"
"3","ECT2"
"4","CENPF"
"5","KIF14"
"6","KIF18A"
"7","STIL"
"8","KIF23"
"9","EXO1"
"10","IQGAP3"
"11","KIF18B"
"12","XRCC2"
"13","TREM2"
"14","CXCL9"
"15","PLA2G7"
"16","FCGR1A"
"17","DCSTAMP"
"18","HTRA4"
"19","OLR1"
"20","CCR8"
"21","FCGR3A"
"22","RECQL4"
"23","CD79A"
"24","PNOC"
"25","SLC5A4"
"26","PCK2"
"27","ASPA"
"28","GHR"
"29","KHK"
"30","SLC2A5"
"31","AQP11"
"32","ADH1B"
"33","CHRDL1"
"34","LGI4"
"35","CXCL10"
"36","CXCL11"
"37","FAP"
"38","ADAMTS2"
"39","SULF1"
"40","GRIK3"
"41","EHD3"
"42","FMO2"
"43","KLF8"
"44","ALOX12"
"45","GRHL1"
"46","TIAM1"
"47","TMEM79"
"48","SCNN1B"
"49","P2RY1"
"50","TMEM154"
"51","MAL"
"52","ANKRD35"
"53","EFS"
"54","PTN"
"55","NRG2"
"56","FAM107A"
"57","ARL4D"
"58","GNG7"
"59","CCDC69"
"60","CPXM1"
"61","COL21A1"
"62","FNDC1"
"63","TNXB"
"64","COL3A1"
"65","COL3A1.1"
"66","BGN"
"67","THBS2"
"68","TNXB.1"
"69","TNXB.2"
"70","TNXB.3"
"71","TNXB.4"
"72","TNXB.5"
"73","TNXB.6"
"74","TNXB.7"
"75","ADCYAP1R1"
"76","COL19A1"
"77","GADD45B"
"78","NR4A3"
"79","KCNA5"
"80","DPT"
"81","CADM3"
"82","C1QTNF7"
"83","PI16"
"84","NPAS4"
"85","DHH"
"86","GSDME"
"87","RASN"
"88","RASH"
"89","RASK"
"90","CD8A"
"91","FCER2"
"92","ADRB2"
"93","ANDR"
"94","KPSH1"
"95","CFTR"
"96","CD36"
"97","NFKB1"
"98","TNR6"
"99","CALX"
"100","5HT1B"
"101","STAT3"
"102","GSK3B"
"103","CASP6"
"104","WNT3A"
"105","BACE1"
"106","GSDMD"
"107","SNP25"
"108","RS11"
"109","EM55"
"110","KCMA1"
"111","SHH"
"112","RPE65"
"113","PCSK7"
"114","MICA"
"115","AB17B"
"116","AB17C"
"117","ARC"
"118","GOGA7"
"119","CAHM1"
"120","AB17A"
"121","NLRP3"
"122","P2RX7"
"123","DNJC5"
"124","NOD2"
"125","SCUB2"
"126","TLR9"
"127","CABP1"
"128","NOD1"
"129","CSEN"
