"","X","lacgene","corgene","cor","pvalue"
"4",4,"GSK3B","TPX2",0.558968534151145,3.52353348108535e-38
"5",5,"GSK3B","CLSPN",0.562821787873557,8.57528338332721e-39
"7",7,"GSK3B","ECT2",0.661350506372159,1.1286729928956e-57
"9",9,"GSK3B","CENPF",0.638151399778774,1.327865156273e-52
"10",10,"GSK3B","KIF14",0.63950806220101,6.89644839166867e-53
"11",11,"GSK3B","KIF18A",0.573417036651746,1.5979452241079e-40
"12",12,"GSK3B","STIL",0.646407968605019,2.33930163742927e-54
"15",15,"GSK3B","GRHL1",0.509629316099747,5.5220317819277e-31
"16",16,"GSK3B","KIF23",0.600773218414977,2.71739130426379e-45
"19",19,"GSK3B","TMEM79",0.532748910597715,3.29497686420073e-34
"20",20,"GSK3B","EXO1",0.581737151081924,6.3178841944878e-42
"21",21,"GSK3B","IQGAP3",0.581806058230092,6.1486999844589e-42
"22",22,"GSK3B","KIF18B",0.578577515043353,2.1782531657112e-41
"26",26,"GSK3B","XRCC2",0.568501453079734,1.03233646791398e-39
"27",27,"P2RX7","FAP",0.579183641048033,1.71966590940036e-41
"28",28,"P2RX7","ADAMTS2",0.519855555927625,2.22033623056438e-32
"29",29,"P2RX7","FMO2",0.588069161069438,5.07557360942188e-43
"30",30,"P2RX7","TREM2",0.632909828045317,1.61861934702696e-51
"32",32,"P2RX7","GHR",0.515958195764362,7.654446782825e-32
"35",35,"P2RX7","SULF1",0.547871984245443,1.86349684172304e-36
"36",36,"P2RX7","CXCL9",0.511621108267191,2.97817984294897e-31
"37",37,"P2RX7","SLC2A5",0.538245364931226,5.17758945560942e-35
"38",38,"P2RX7","PLA2G7",0.587590643959476,6.15297137959149e-43
"40",40,"P2RX7","FCGR1A",0.638279375859705,1.24846113486342e-52
"41",41,"P2RX7","LGI4",0.513232409485842,1.80189942922621e-31
"43",43,"P2RX7","TIAM1",0.523734059753326,6.37646980480195e-33
"45",45,"P2RX7","FNDC1",0.526605549408712,2.50554874014066e-33
"46",46,"P2RX7","DCSTAMP",0.574168389559676,1.19813654067063e-40
"48",48,"P2RX7","COL3A1",0.515632951843225,8.48117374037006e-32
"49",49,"P2RX7","COL3A1.1",0.515632951843225,8.48117374037006e-32
"50",50,"P2RX7","HTRA4",0.591394369378746,1.32035435108517e-43
"51",51,"P2RX7","OLR1",0.58044568041132,1.04952548047754e-41
"52",52,"P2RX7","CCR8",0.612742512796695,1.58167214055212e-47
"53",53,"P2RX7","BGN",0.501825920096606,5.96764918661393e-30
"54",54,"P2RX7","THBS2",0.54771861775913,1.96651966587545e-36
"56",56,"P2RX7","CCDC69",0.554045822353508,2.08677851912552e-37
"58",58,"P2RX7","FCGR3A",0.643937992868362,7.93405947317132e-54
"59",59,"GSDMD","CLSPN",0.50519828771244,2.14950135971144e-30
"60",60,"GSDMD","PCK2",0.502468668858653,4.91657102157177e-30
"61",61,"GSDMD","RECQL4",0.620288516994782,5.49763434702902e-49
"63",63,"GSDMD","IQGAP3",0.535633796468172,1.25270105946282e-34
"64",64,"GSDMD","KIF18B",0.509982662594772,4.95060062157907e-31
"67",67,"FCER2","ADCYAP1R1",0.535115594429392,1.49138534719327e-34
"68",68,"FCER2","COL19A1",0.654277952302246,4.42395531465855e-56
"70",70,"FCER2","CD79A",0.711868311852659,1.88963532497077e-70
"79",79,"FCER2","CADM3",0.640646707127617,3.96929241184533e-53
"83",83,"FCER2","PNOC",0.69875715632323,7.06976863500698e-67
"84",84,"FCER2","FAM107A",0.59196516969799,1.04621796898841e-43
"87",87,"FCER2","GNG7",0.556068550413748,1.00836030931229e-37
"91",91,"FCER2","ADH1B",0.563848589756897,5.8660200212899e-39
"92",92,"FCER2","CCDC69",0.573906706989189,1.32463884591983e-40
"96",96,"NOD1","FAP",0.511344473468305,3.24563002185173e-31
"97",97,"NOD1","KLF8",0.505946942831041,1.71087454200744e-30
"98",98,"NOD1","ALOX12",0.537736105411622,6.15483968867816e-35
"100",100,"NOD1","COL3A1",0.523762812890359,6.3173842327548e-33
"101",101,"NOD1","COL3A1.1",0.523762812890359,6.3173842327548e-33
"103",103,"NOD1","THBS2",0.533244940672841,2.79205477140731e-34
"113",113,"CD36","ADCYAP1R1",0.563449177627268,6.80076543412857e-39
"116",116,"CD36","CHRDL1",0.595353207330252,2.60348302948332e-44
"119",119,"CD36","ASPA",0.648227153189286,9.44660444448093e-55
"122",122,"CD36","GHR",0.688972256975236,2.46483558062773e-64
"127",127,"CD36","COL21A1",0.504869202597044,2.37591044987086e-30
"129",129,"CD36","KCNA5",0.504138551313485,2.96636889783039e-30
"137",137,"CD36","DPT",0.547595834637254,2.05304758344779e-36
"142",142,"CD36","LGI4",0.564037232260231,5.46996780463442e-39
"147",147,"CD36","CADM3",0.572318351739523,2.43135580047196e-40
"148",148,"CD36","C1QTNF7",0.577228035972324,3.68054165073911e-41
"151",151,"CD36","GRIK3",0.520190319121066,1.99492193515928e-32
"152",152,"CD36","PI16",0.570460215922599,4.9269859537591e-40
"158",158,"CD36","FAM107A",0.656200806310256,1.6477805661975e-56
"159",159,"CD36","TNXB",0.570361279288523,5.11515398652689e-40
"164",164,"CD36","GNG7",0.504976915883834,2.29932167879698e-30
"168",168,"CD36","ADH1B",0.669923274379024,1.15416584384269e-59
"170",170,"CD36","CCDC69",0.579874202799161,1.31285436493876e-41
"171",171,"CD36","TNXB.1",0.570361279288523,5.11515398652689e-40
"173",173,"CD36","TNXB.2",0.570361279288523,5.11515398652689e-40
"174",174,"CD36","TNXB.3",0.570361279288523,5.11515398652689e-40
"175",175,"CD36","TNXB.4",0.570361279288523,5.11515398652689e-40
"176",176,"CD36","TNXB.5",0.570361279288523,5.11515398652689e-40
"177",177,"CD36","TNXB.6",0.570361279288523,5.11515398652689e-40
"178",178,"CD36","TNXB.7",0.570361279288523,5.11515398652689e-40
"184",184,"CASP6","TPX2",0.536598729718293,9.04605269222489e-35
"186",186,"CASP6","PCK2",0.564519788948316,4.57337489733781e-39
"187",187,"CASP6","CENPF",0.505682244722,1.85477556218964e-30
"188",188,"CASP6","KIF14",0.512279419720839,2.42625027529876e-31
"189",189,"CASP6","KIF18A",0.541474015907965,1.7182279195231e-35
"191",191,"CASP6","KIF23",0.526018276109913,3.03519669483506e-33
"192",192,"CASP6","KHK",0.50232701361478,5.13122975372698e-30
"193",193,"CASP6","RECQL4",0.509443189867896,5.84879372659035e-31
"194",194,"CASP6","EXO1",0.55727936472063,6.50883986407937e-38
"195",195,"CASP6","AQP11",0.541203039576931,1.88575806420417e-35
"196",196,"CASP6","IQGAP3",0.5237713686443,6.29990763372748e-33
"197",197,"CASP6","XRCC2",0.506724130977012,1.34915326340827e-30
"201",201,"DHH","EHD3",0.557682886897025,5.62305741191057e-38
"217",217,"DHH","ADCYAP1R1",0.58976531892136,2.55878076933593e-43
"219",219,"DHH","COL19A1",0.587093426284419,7.51284809416207e-43
"222",222,"DHH","FMO2",0.502824459122229,4.41580324741143e-30
"225",225,"DHH","SLC5A4",0.513788923347842,1.51387654760075e-31
"226",226,"DHH","EFS",0.568968848148096,8.65691250693839e-40
"228",228,"DHH","CHRDL1",0.663282185076845,4.07237880260921e-58
"229",229,"DHH","KLF8",0.584555556196052,2.07066729573848e-42
"233",233,"DHH","PTN",0.511402497241873,3.18763166764287e-31
"236",236,"DHH","ASPA",0.561108085189877,1.61135548015943e-38
"242",242,"DHH","GHR",0.650752886256503,2.65475144237629e-55
"252",252,"DHH","COL21A1",0.578208003829875,2.51530252047303e-41
"256",256,"DHH","KCNA5",0.649225041838621,5.72940255697071e-55
"271",271,"DHH","DPT",0.513229186022982,1.80371645641302e-31
"283",283,"DHH","LGI4",0.684047067037884,4.30163192463967e-63
"288",288,"DHH","CADM3",0.622451349877446,2.06372234601038e-49
"291",291,"DHH","C1QTNF7",0.647834120044996,1.14970460758892e-54
"295",295,"DHH","GRIK3",0.553014336713781,3.01800210829376e-37
"297",297,"DHH","PI16",0.624261045129398,9.03722959189092e-50
"299",299,"DHH","FNDC1",0.557684457862731,5.61985374185354e-38
"311",311,"DHH","FAM107A",0.68287039746873,8.44677054426996e-63
"312",312,"DHH","TNXB",0.682955104425199,8.04711215922551e-63
"313",313,"DHH","COL3A1",0.51999483775029,2.12364134810862e-32
"314",314,"DHH","COL3A1.1",0.51999483775029,2.12364134810862e-32
"322",322,"DHH","NPAS4",0.54669186506834,2.81736022905627e-36
"325",325,"DHH","GNG7",0.506408053299418,1.48609480414911e-30
"333",333,"DHH","BGN",0.522096929797786,1.08179126485016e-32
"339",339,"DHH","ADH1B",0.590946594944902,1.58428964996065e-43
"341",341,"DHH","ANKRD35",0.596213838172621,1.82374826242214e-44
"343",343,"DHH","CCDC69",0.628911831599717,1.05566267679521e-50
"345",345,"DHH","TNXB.1",0.682955104425199,8.04711215922551e-63
"347",347,"DHH","TNXB.2",0.682955104425199,8.04711215922551e-63
"348",348,"DHH","TNXB.3",0.682955104425199,8.04711215922551e-63
"349",349,"DHH","TNXB.4",0.682955104425199,8.04711215922551e-63
"350",350,"DHH","TNXB.5",0.682955104425199,8.04711215922551e-63
"352",352,"DHH","TNXB.6",0.682955104425199,8.04711215922551e-63
"353",353,"DHH","TNXB.7",0.682955104425199,8.04711215922551e-63
"363",363,"CD8A","CD79A",0.58659196776997,9.18570310458879e-43
"367",367,"CD8A","CXCL9",0.703123683649345,4.80020543080579e-68
"368",368,"CD8A","FCGR1A",0.542106768118953,1.38225526214624e-35
"369",369,"CD8A","PNOC",0.536079985822577,1.07776860128354e-34
"370",370,"CD8A","CXCL10",0.601923777459554,1.67263374709158e-45
"371",371,"CD8A","CXCL11",0.551780612349637,4.68435217558063e-37
"373",373,"CD8A","CCR8",0.608953961711108,8.25774389029641e-47
"374",374,"CD8A","FCGR3A",0.56086373461963,1.76247164422184e-38
"378",378,"NLRP3","FAP",0.54696572707501,2.560043507645e-36
"379",379,"NLRP3","ADAMTS2",0.519033635864064,2.88636014953342e-32
"380",380,"NLRP3","TREM2",0.569457518578599,7.19935880391333e-40
"381",381,"NLRP3","NR4A3",0.511719795032681,2.88814556792587e-31
"385",385,"NLRP3","SLC2A5",0.514291180503192,1.29331728260246e-31
"386",386,"NLRP3","PLA2G7",0.632850110040836,1.66493454274499e-51
"387",387,"NLRP3","FCGR1A",0.54378676298465,7.7398029656151e-36
"389",389,"NLRP3","COL3A1",0.517262488029653,5.06766635627909e-32
"390",390,"NLRP3","COL3A1.1",0.517262488029653,5.06766635627909e-32
"392",392,"NLRP3","OLR1",0.583216610150604,3.52252109406965e-42
"393",393,"NLRP3","CCR8",0.646901915785084,1.82988720677156e-54
"394",394,"NLRP3","THBS2",0.512943896670297,1.97192203385563e-31
"396",396,"NLRP3","FCGR3A",0.600540930838942,2.99638326909425e-45
"397",397,"NOD2","TMEM154",0.509254480631538,6.19961210927246e-31
"411",411,"ADRB2","ADCYAP1R1",0.604892422123158,4.73863878444726e-46
"412",412,"ADRB2","COL19A1",0.509355295732244,6.00967917475096e-31
"414",414,"ADRB2","TPX2",-0.52784079361604,1.6718414750095e-33
"419",419,"ADRB2","EFS",0.581259622806412,7.62409345353567e-42
"421",421,"ADRB2","CHRDL1",0.648918266507216,6.68280043066447e-55
"422",422,"ADRB2","KLF8",0.509042524972875,6.61851130835606e-31
"424",424,"ADRB2","PTN",0.596161773214085,1.86350370858445e-44
"426",426,"ADRB2","ASPA",0.681976075619072,1.40768152842285e-62
"430",430,"ADRB2","GHR",0.685902081315299,1.47504097421147e-63
"448",448,"ADRB2","KCNA5",0.523854072283741,6.13341899030267e-33
"467",467,"ADRB2","DPT",0.650463755575592,3.07181030431967e-55
"481",481,"ADRB2","LGI4",0.588689533780137,3.95271124996897e-43
"486",486,"ADRB2","NRG2",0.609363347903374,6.91463171566526e-47
"489",489,"ADRB2","RECQL4",-0.523407993410341,7.08601223985902e-33
"490",490,"ADRB2","CADM3",0.729006691390044,1.95824030071059e-75
"493",493,"ADRB2","C1QTNF7",0.620384169440986,5.26534711696131e-49
"497",497,"ADRB2","GRIK3",0.567455306129429,1.52936917455008e-39
"499",499,"ADRB2","PI16",0.565135393449969,3.63803622606191e-39
"508",508,"ADRB2","PNOC",0.556300069823301,9.27522959279741e-38
"509",509,"ADRB2","FAM107A",0.750484588630057,3.00574771691698e-82
"510",510,"ADRB2","SCNN1B",0.568413892499832,1.06691835790543e-39
"511",511,"ADRB2","TNXB",0.638231868813211,1.27737184793282e-52
"515",515,"ADRB2","MAL",0.70613015793809,7.31907204506934e-69
"525",525,"ADRB2","ARL4D",0.52135851335951,1.37176174209386e-32
"526",526,"ADRB2","GNG7",0.672373129537216,3.02818641595099e-60
"543",543,"ADRB2","ADH1B",0.711480018284525,2.42699838791774e-70
"545",545,"ADRB2","ANKRD35",0.602149886110129,1.52013861317432e-45
"547",547,"ADRB2","CCDC69",0.721670250223222,2.96104294154979e-73
"550",550,"ADRB2","TNXB.1",0.638231868813211,1.27737184793282e-52
"553",553,"ADRB2","TNXB.2",0.638231868813211,1.27737184793282e-52
"554",554,"ADRB2","TNXB.3",0.638231868813211,1.27737184793282e-52
"555",555,"ADRB2","TNXB.4",0.638231868813211,1.27737184793282e-52
"556",556,"ADRB2","TNXB.5",0.638231868813211,1.27737184793282e-52
"557",557,"ADRB2","TNXB.6",0.638231868813211,1.27737184793282e-52
"558",558,"ADRB2","TNXB.7",0.638231868813211,1.27737184793282e-52
"567",567,"BACE1","EHD3",0.684032060431271,4.33889826850112e-63
"580",580,"BACE1","FAP",0.538905711145223,4.13590349770159e-35
"582",582,"BACE1","CPXM1",0.504272281747535,2.84838989556722e-30
"585",585,"BACE1","GADD45B",0.548092511242136,1.72466250119076e-36
"586",586,"BACE1","EFS",0.676748025059513,2.68823505690241e-61
"588",588,"BACE1","CHRDL1",0.561003566690898,1.67435507212617e-38
"589",589,"BACE1","KLF8",0.604860221059175,4.80425399496711e-46
"593",593,"BACE1","PTN",0.502813740659738,4.43012480719506e-30
"598",598,"BACE1","GHR",0.683493509600672,5.91116234515907e-63
"606",606,"BACE1","COL21A1",0.551174300111648,5.81019909329394e-37
"612",612,"BACE1","KCNA5",0.512324533230401,2.392370031458e-31
"620",620,"BACE1","SULF1",0.525550651210193,3.534977805368e-33
"630",630,"BACE1","LGI4",0.559917773227497,2.49190737134361e-38
"633",633,"BACE1","TIAM1",0.510098220584557,4.77673130415955e-31
"636",636,"BACE1","C1QTNF7",0.540911552842746,2.0840519201354e-35
"638",638,"BACE1","FNDC1",0.575386233224509,7.50104110677504e-41
"642",642,"BACE1","TNXB",0.58455106986338,2.07436535758164e-42
"643",643,"BACE1","COL3A1",0.600306570159025,3.30663428975672e-45
"644",644,"BACE1","COL3A1.1",0.600306570159025,3.30663428975672e-45
"645",645,"BACE1","P2RY1",0.508721428307122,7.30701333160309e-31
"649",649,"BACE1","ARL4D",0.534586440136459,1.78154977202731e-34
"653",653,"BACE1","BGN",0.528918372203707,1.17306874213864e-33
"655",655,"BACE1","THBS2",0.578945946022023,1.88681750692277e-41
"658",658,"BACE1","ANKRD35",0.550338414439829,7.81335960530766e-37
"660",660,"BACE1","CCDC69",0.545253894805714,4.65177457658927e-36
"661",661,"BACE1","TNXB.1",0.58455106986338,2.07436535758164e-42
"662",662,"BACE1","TNXB.2",0.58455106986338,2.07436535758164e-42
"663",663,"BACE1","TNXB.3",0.58455106986338,2.07436535758164e-42
"664",664,"BACE1","TNXB.4",0.58455106986338,2.07436535758164e-42
"665",665,"BACE1","TNXB.5",0.58455106986338,2.07436535758164e-42
"666",666,"BACE1","TNXB.6",0.58455106986338,2.07436535758164e-42
"667",667,"BACE1","TNXB.7",0.58455106986338,2.07436535758164e-42
