"","variable","permutation","dropout_loss","label"
"1","_full_model_",0,0.0968245836551854,"KNN"
"2","group",0,0.0968245836551854,"KNN"
"3","TIAM1",0,0.109799936038956,"KNN"
"4","FAP",0,0.129860821554503,"KNN"
"5","KHK",0,0.145109585730597,"KNN"
"6","GHR",0,0.234743020629204,"KNN"
"7","BGN",0,0.25966272910227,"KNN"
"8","_baseline_",0,0.371719441241174,"KNN"
"9","_full_model_",1,0.0968245836551854,"KNN"
"10","group",1,0.0968245836551854,"KNN"
"11","GHR",1,0.231840462387393,"KNN"
"12","BGN",1,0.265080850200193,"KNN"
"13","FAP",1,0.117260393995586,"KNN"
"14","TIAM1",1,0.116496474502144,"KNN"
"15","KHK",1,0.140788595317336,"KNN"
"16","_baseline_",1,0.375,"KNN"
"17","_full_model_",2,0.0968245836551854,"KNN"
"18","group",2,0.0968245836551854,"KNN"
"19","GHR",2,0.224005739722382,"KNN"
"20","BGN",2,0.252487623459052,"KNN"
"21","FAP",2,0.148804761828569,"KNN"
"22","TIAM1",2,0.111803398874989,"KNN"
"23","KHK",2,0.157264563259314,"KNN"
"24","_baseline_",2,0.373807628141993,"KNN"
"25","_full_model_",3,0.0968245836551854,"KNN"
"26","group",3,0.0968245836551854,"KNN"
"27","GHR",3,0.21650635094611,"KNN"
"28","BGN",3,0.251424512954258,"KNN"
"29","FAP",3,0.127124798075412,"KNN"
"30","TIAM1",3,0.101770048919821,"KNN"
"31","KHK",3,0.154110350074224,"KNN"
"32","_baseline_",3,0.372611440664784,"KNN"
"33","_full_model_",4,0.0968245836551854,"KNN"
"34","group",4,0.0968245836551854,"KNN"
"35","GHR",4,0.217534890469158,"KNN"
"36","BGN",4,0.279188876159901,"KNN"
"37","FAP",4,0.126508751814704,"KNN"
"38","TIAM1",4,0.115727512471569,"KNN"
"39","KHK",4,0.154688627340769,"KNN"
"40","_baseline_",4,0.371411400702009,"KNN"
"41","_full_model_",5,0.0968245836551854,"KNN"
"42","group",5,0.0968245836551854,"KNN"
"43","GHR",5,0.25319388392523,"KNN"
"44","BGN",5,0.264912384437896,"KNN"
"45","FAP",5,0.134297111978308,"KNN"
"46","TIAM1",5,0.106486082256254,"KNN"
"47","KHK",5,0.14047114599498,"KNN"
"48","_baseline_",5,0.375,"KNN"
"49","_full_model_",6,0.0968245836551854,"KNN"
"50","group",6,0.0968245836551854,"KNN"
"51","GHR",6,0.249463710501433,"KNN"
"52","BGN",6,0.277746029931765,"KNN"
"53","FAP",6,0.136277028773849,"KNN"
"54","TIAM1",6,0.108150028069477,"KNN"
"55","KHK",6,0.150297324375006,"KNN"
"56","_baseline_",6,0.364128117170709,"KNN"
"57","_full_model_",7,0.0968245836551854,"KNN"
"58","group",7,0.0968245836551854,"KNN"
"59","GHR",7,0.225792255972482,"KNN"
"60","BGN",7,0.243853000215879,"KNN"
"61","FAP",7,0.119522860933439,"KNN"
"62","TIAM1",7,0.110194633003868,"KNN"
"63","KHK",7,0.134960311626366,"KNN"
"64","_baseline_",7,0.379732048386001,"KNN"
"65","_full_model_",8,0.0968245836551854,"KNN"
"66","group",8,0.0968245836551854,"KNN"
"67","GHR",8,0.212972164512508,"KNN"
"68","BGN",8,0.263560781821358,"KNN"
"69","FAP",8,0.125,"KNN"
"70","TIAM1",8,0.114564392373896,"KNN"
"71","KHK",8,0.14173667737846,"KNN"
"72","_baseline_",8,0.356696149204253,"KNN"
"73","_full_model_",9,0.0968245836551854,"KNN"
"74","group",9,0.0968245836551854,"KNN"
"75","GHR",9,0.265585606322546,"KNN"
"76","BGN",9,0.251246890528022,"KNN"
"77","FAP",9,0.128521815824618,"KNN"
"78","TIAM1",9,0.110599018337157,"KNN"
"79","KHK",9,0.137905246973627,"KNN"
"80","_baseline_",9,0.375,"KNN"
"81","_full_model_",10,0.0968245836551854,"KNN"
"82","group",10,0.0968245836551854,"KNN"
"83","GHR",10,0.250535141532794,"KNN"
"84","BGN",10,0.247126341314374,"KNN"
"85","FAP",10,0.135290692320542,"KNN"
"86","TIAM1",10,0.102207771580387,"KNN"
"87","KHK",10,0.138873014965883,"KNN"
"88","_baseline_",10,0.373807628141993,"KNN"
